
2024/06/08 (14:24:51) | ===> btop++ v.1.3.2
2024/06/08 (14:24:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/08 (15:33:29) | ===> btop++ v.1.3.2
2024/06/08 (15:33:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:28:24) | ===> btop++ v.1.3.2
2024/06/09 (15:28:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:29:00) | ===> btop++ v.1.3.2
2024/06/09 (15:29:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:32:47) | ===> btop++ v.1.3.2
2024/06/09 (15:32:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:33:22) | ===> btop++ v.1.3.2
2024/06/09 (15:33:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:35:21) | ===> btop++ v.1.3.2
2024/06/09 (15:35:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:35:48) | ===> btop++ v.1.3.2
2024/06/09 (15:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:36:02) | ===> btop++ v.1.3.2
2024/06/09 (15:36:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:36:27) | ===> btop++ v.1.3.2
2024/06/09 (15:36:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:38:25) | ===> btop++ v.1.3.2
2024/06/09 (15:38:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:43:52) | ===> btop++ v.1.3.2
2024/06/09 (15:43:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:54:30) | ===> btop++ v.1.3.2
2024/06/09 (15:54:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:58:03) | ===> btop++ v.1.3.2
2024/06/09 (15:58:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (16:03:37) | ===> btop++ v.1.3.2
2024/06/09 (16:03:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (16:05:18) | ===> btop++ v.1.3.2
2024/06/09 (16:05:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (20:37:42) | ===> btop++ v.1.3.2
2024/06/09 (20:37:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (22:32:12) | ===> btop++ v.1.3.2
2024/06/09 (22:32:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (16:18:09) | ===> btop++ v.1.3.2
2024/06/10 (16:18:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (00:03:23) | ===> btop++ v.1.3.2
2024/06/11 (00:03:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (01:13:23) | ===> btop++ v.1.3.2
